Model Name	LI-180
Serial Number	818M0044
Time	2021/11/01_07:18:06
676nm	238.878693
677nm	207.139816
678nm	178.406677
679nm	155.171738
680nm	136.795044
681nm	120.893570
682nm	107.383858
683nm	95.450554
684nm	85.719650
685nm	78.023819
686nm	71.037750
687nm	64.916489
688nm	60.031479
689nm	56.149052
690nm	52.466846
691nm	49.090508
692nm	46.332542
693nm	43.738544
694nm	41.292892
695nm	39.584263
696nm	37.865585
697nm	36.136517
698nm	35.175686
699nm	34.024155
700nm	32.146000
701nm	30.925610
702nm	29.984785
703nm	28.795549
704nm	28.061718
705nm	27.797985
706nm	26.790335
707nm	25.901508
708nm	25.462990
709nm	24.915565
710nm	24.256947
711nm	23.161905
712nm	22.634727
713nm	22.563665
714nm	22.152027
715nm	21.747429
716nm	21.367048
717nm	21.052240
718nm	20.656380
719nm	19.974636
720nm	19.274628
721nm	18.585434
722nm	18.048576
723nm	17.935692
724nm	18.172115
725nm	17.845558
726nm	17.243870
727nm	16.283407
728nm	16.184246
729nm	16.194239
730nm	16.161886
731nm	15.489455
732nm	14.745407
733nm	14.459754
734nm	14.284587
735nm	14.196321
736nm	14.332945
737nm	14.014457
738nm	13.398894
739nm	13.332485
740nm	13.459338
741nm	13.771507
742nm	13.177757
743nm	12.610304
744nm	12.100897
745nm	12.036015
746nm	12.180094
747nm	12.584804
748nm	11.372995
749nm	10.704416
750nm	11.457606
751nm	11.070801
752nm	10.647195
753nm	10.610279
754nm	10.666351
755nm	10.358120
756nm	9.166974
757nm	9.862796
758nm	10.529547
759nm	9.995778
760nm	10.230227
761nm	10.382079
762nm	9.879157
763nm	9.981905
764nm	10.052981
765nm	9.732875
766nm	9.356163
767nm	9.356337
768nm	10.114019
769nm	10.187398
770nm	10.280525
771nm	10.596434
772nm	10.038068
773nm	9.338969
774nm	8.581822
775nm	9.312302
776nm	9.217363
777nm	8.197618
778nm	8.399404
779nm	8.192203
780nm	7.733523
CCT	3203.000000
Duv	-0.030837
x	0.388588
y	0.319930
u'	0.256410
v'	0.474988
deltax	-0.034587
deltay	-0.078952
deltau'	0.012513
deltav'	-0.042276
Purity	13.977271
CRI	68.723000
R1	70.902824
R2	89.164635
R3	71.305397
R4	66.254890
R5	74.395828
R6	96.001137
R7	64.863365
R8	16.895962
R9	-74.121048
R10	84.569313
R11	66.237991
R12	86.376213
R13	74.239563
R14	80.377045
R15	42.310345
